162.bmp 649.bmp 611.bmp 
0.bmp 6.7503e+08 6.27847e+08 5.25109e+08
1.bmp 5.54666e+08 5.60561e+08 4.17146e+08
2.bmp 6.86515e+08 5.15927e+08 5.33803e+08
3.bmp 5.88494e+08 5.44876e+08 4.4073e+08
4.bmp 6.32906e+08 6.95105e+08 5.30196e+08
5.bmp 6.78523e+08 4.37971e+08 5.1827e+08
6.bmp 6.59463e+08 5.3776e+08 4.84076e+08
7.bmp 5.83352e+08 5.10212e+08 4.29341e+08
8.bmp 6.63866e+08 5.30003e+08 5.02706e+08
9.bmp 5.85222e+08 5.47088e+08 4.30581e+08
10.bmp 5.38898e+08 6.45294e+08 4.47032e+08
11.bmp 6.89733e+08 5.51927e+08 5.03406e+08
12.bmp 6.7387e+08 5.78173e+08 5.11445e+08
13.bmp 5.4511e+08 5.16341e+08 4.01184e+08
14.bmp 6.51647e+08 5.69452e+08 4.92604e+08
15.bmp 6.29381e+08 5.59112e+08 4.62898e+08
16.bmp 6.28764e+08 5.72912e+08 4.70641e+08
17.bmp 5.58513e+08 5.28934e+08 4.06121e+08
18.bmp 6.73651e+08 5.96868e+08 5.15328e+08
19.bmp 6.55939e+08 5.48938e+08 4.86514e+08
20.bmp 5.74854e+08 5.57075e+08 4.30458e+08
21.bmp 6.38838e+08 5.57406e+08 4.78715e+08
22.bmp 6.68771e+08 5.88969e+08 5.07714e+08
23.bmp 6.94896e+08 5.64492e+08 5.21837e+08
24.bmp 6.55378e+08 5.74211e+08 4.89188e+08
25.bmp 4.8913e+08 5.70608e+08 3.72362e+08
26.bmp 6.16588e+08 5.89223e+08 4.74225e+08
27.bmp 6.49556e+08 5.67168e+08 4.95978e+08
28.bmp 5.94653e+08 5.59228e+08 4.49225e+08
29.bmp 6.28144e+08 5.27087e+08 4.52057e+08
30.bmp 6.72819e+08 5.83618e+08 5.07266e+08
31.bmp 6.49967e+08 4.9639e+08 4.7935e+08
32.bmp 7.01664e+08 6.06752e+08 5.7075e+08
33.bmp 6.42585e+08 5.58837e+08 5.04252e+08
34.bmp 6.52995e+08 5.6098e+08 4.8632e+08
35.bmp 6.05827e+08 5.28601e+08 4.61199e+08
36.bmp 6.77093e+08 5.58194e+08 5.04899e+08
37.bmp 6.48025e+08 5.41906e+08 4.78431e+08
38.bmp 6.60963e+08 5.85624e+08 4.99706e+08
39.bmp 6.03802e+08 5.62255e+08 4.51676e+08
40.bmp 6.12737e+08 5.79634e+08 4.60296e+08
41.bmp 6.83774e+08 5.88248e+08 5.21395e+08
42.bmp 5.94055e+08 5.65371e+08 4.40942e+08
43.bmp 6.70392e+08 5.82163e+08 5.10412e+08
44.bmp 6.65606e+08 5.68442e+08 4.98638e+08
45.bmp 6.95822e+08 5.94467e+08 5.32886e+08
46.bmp 6.99135e+08 6.03901e+08 5.33868e+08
47.bmp 6.20806e+08 5.33122e+08 4.62107e+08
48.bmp 6.73732e+08 5.52602e+08 5.03288e+08
49.bmp 6.74024e+08 5.8753e+08 5.07914e+08
50.bmp 6.0765e+08 5.41755e+08 4.59375e+08
51.bmp 6.64594e+08 5.91983e+08 5.02712e+08
52.bmp 6.42006e+08 5.73821e+08 4.8364e+08
53.bmp 6.23401e+08 5.68263e+08 4.83102e+08
54.bmp 6.25766e+08 5.70189e+08 4.66563e+08
55.bmp 6.33828e+08 5.85731e+08 4.81525e+08
56.bmp 6.23912e+08 5.1807e+08 4.65669e+08
57.bmp 5.59322e+08 5.70127e+08 4.30992e+08
58.bmp 5.48996e+08 5.62838e+08 4.27158e+08
59.bmp 6.08011e+08 5.38703e+08 4.57377e+08
60.bmp 6.42504e+08 5.91692e+08 4.91302e+08
61.bmp 6.33351e+08 5.89654e+08 4.81185e+08
62.bmp 6.1961e+08 5.56255e+08 4.55756e+08
63.bmp 6.10471e+08 5.33375e+08 4.58329e+08
64.bmp 6.16892e+08 5.595e+08 4.59469e+08
65.bmp 6.13666e+08 5.44744e+08 4.55332e+08
66.bmp 5.02488e+08 5.98436e+08 3.9916e+08
67.bmp 6.97323e+08 6.14696e+08 5.23318e+08
68.bmp 5.8242e+08 5.65224e+08 4.3781e+08
69.bmp 6.06998e+08 4.99288e+08 4.46006e+08
70.bmp 5.15944e+08 5.5372e+08 3.91449e+08
71.bmp 5.30777e+08 5.72058e+08 4.00553e+08
72.bmp 6.82594e+08 6.05579e+08 5.23031e+08
73.bmp 6.34708e+08 5.83453e+08 4.79045e+08
74.bmp 6.3573e+08 5.36711e+08 4.69777e+08
